dataset,attack_type,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Clotho,encodec,554,2.911552346570397,2.110941953150372,0.9971796028880866,0.014990934656116768,0.9381768953068592,0.11773611857793556,0.5111687725631769,0.12859531273751848,0.506768953068592,0.12247856900867579,0.9620938628158845,0.19096926964277403,0.6173285198555957,0.48603911203574457,0.0,0.0,0.0,0.0,23.303681315067443,6.097468912099696,5.000893069451359,9.719342636001432
Clotho,eq,404,2.8465346534653464,2.085122422335406,0.9973700495049505,0.01329635805855542,0.8901608910891089,0.14079602233776584,0.4975247524752475,0.12871063997494733,0.4978341584158416,0.12474892992074499,0.9603960396039604,0.19502688716427932,0.36633663366336633,0.4818029726968887,0.0,0.0,0.0,0.0,23.357881812766045,6.756077600390788,2.8322583914605906,3.734067178937869
Clotho,gain,148,2.9324324324324325,2.1455868036323094,0.9945101351351351,0.021710352929099588,0.9869087837837838,0.041262141422095805,0.49324324324324326,0.12753658042396357,0.49028716216216217,0.11411954512016408,0.9324324324324325,0.25100237325684743,0.8783783783783784,0.3268482870931844,0.0,0.0,0.0,0.0,24.03527342306601,6.78134359645644,88.93386825355324,9.372885247569279
Clotho,gaussian_noise,342,2.710526315789474,1.9870502582571088,0.9967105263157895,0.016915842785681486,0.9879385964912281,0.045249364653428395,0.4930555555555556,0.12725388405525193,0.49122807017543857,0.12578623157631566,0.956140350877193,0.20478276368296058,0.9005847953216374,0.2992186855079773,0.0,0.0,0.0,0.0,21.700449937965438,6.097809222558891,29.391163775795384,5.427398060590193
Clotho,highpass,374,2.8636363636363638,2.0966266862156178,0.9978275401069518,0.013918558604542015,0.9565508021390374,0.05828459209625783,0.5091911764705882,0.12352538309893604,0.5031751336898396,0.12340369254417906,0.9705882352941176,0.1689577248981773,0.5374331550802139,0.498596789902162,0.0,0.0,0.0,0.0,22.073529911551248,5.499207004042864,-7.432361066545594,11.021893825328949
Clotho,limiter,310,2.925806451612903,2.116977111725887,0.9951612903225806,0.02563260496018196,0.9762096774193548,0.08542203332463642,0.5060483870967742,0.123840223209163,0.49536290322580645,0.12190180373096046,0.9548387096774194,0.20765776696040109,0.8548387096774194,0.3522633817393799,0.0,0.0,0.0,0.0,23.46077813794536,6.374367852179963,8.136296741424069,5.3367642118248115
Clotho,lowpass,424,2.849056603773585,2.07315479598528,0.9933667452830188,0.024700456469145985,0.9892393867924528,0.03131355620899941,0.4907134433962264,0.11894376379883725,0.49557783018867924,0.11856510861209373,0.9150943396226415,0.27874125854139914,0.8726415094339622,0.3333741223412192,0.0,0.0,0.0,0.0,23.172595469456798,5.836953030771077,12.683777582181513,10.120453382603324
Clotho,mp3,394,2.8553299492385786,2.0800928614976057,0.9957170050761421,0.018667794144958665,0.9915926395939086,0.024363437315044804,0.49333756345177665,0.12378545591708787,0.49793781725888325,0.12869580300843889,0.9416243654822335,0.2344523828252011,0.883248730964467,0.3211236681001971,0.0025380710659898475,0.050315298481215756,0.0,0.0,21.890723543118703,6.204516199964807,13.52717608627556,7.97167497051236
Clotho,phase_shift,146,2.6095890410958904,1.963269874020397,0.9931506849315068,0.036665433399595646,0.5873287671232876,0.17955177677292872,0.4850171232876712,0.13827319858352538,0.5012842465753424,0.12868481070139656,0.9383561643835616,0.24050753241204706,0.04794520547945205,0.21365032822578386,0.0,0.0,0.0,0.0,25.012668126249967,8.186062070087269,-26.660256008579307,13.85311240945192
Clotho,polarity,184,3.0217391304347827,2.1818333977243385,0.9976222826086957,0.013616645552192557,0.21535326086956522,0.14212339705117777,0.49966032608695654,0.11899596998063756,0.506453804347826,0.13105559841850056,0.967391304347826,0.17761015911269773,0.0,0.0,0.0,0.0,0.0,0.0,22.81294310092926,7.285517402087393,90.27094107088836,1.1178937509422133
