attack_type,chunk_index,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
background_noise,5,69,5.0,0.0,0.01899748858122676,0.07479604345342676,0.9855072463768116,0.11951030798891765,0.9990942028985508,0.007469394249307355,0.9710144927536232,0.1677657522143511,0.9972826086956522,0.016603535126651595,0.0,0.0,0.34057971014492755,0.09667023818446202,0.0,0.0,0.34057971014492755,0.10068618283761052,48.89259277564892,0.45791906172422675,27.452521144479945,4.40377451893046
background_noise,6,42,6.0,0.0,0.0011249520051477137,0.002166917915649539,1.0,0.0,1.0,0.0,0.9523809523809523,0.21295885499997996,0.9925595238095238,0.03906072841787705,0.0,0.0,0.31101190476190477,0.10250589344818167,0.0,0.0,0.29910714285714285,0.10523474528712586,48.78795342218308,0.29400096348281196,27.837851478939964,4.568219432125446
dac,0,172,0.0,0.0,0.04274546202247804,0.12570252193509127,0.9651162790697675,0.18348527718673838,0.9963662790697675,0.025847993086887705,0.0,0.0,0.3248546511627907,0.12291863366317778,0.0,0.0,0.31540697674418605,0.12033707531559461,0.0,0.0,0.32848837209302323,0.10027489764317847,49.119812211325005,0.9434418809447646,2.6088652244747377,6.70382770877369
dac,1,172,1.0,0.0,0.044954697595699665,0.1294751591618139,0.9883720930232558,0.10720400531735916,0.9989098837209303,0.010600255919923564,0.0,0.0,0.34011627906976744,0.13261836911987399,0.0,0.0,0.3346656976744186,0.11450949558514531,0.0,0.0,0.3237645348837209,0.11088685081688449,49.148532911788585,0.9084826236218242,2.2389356185618494,6.767409435832631
dac,2,169,2.0,0.0,0.035435512963781286,0.11514421065717502,0.9822485207100592,0.1320468260616651,0.9966715976331361,0.03060378826268817,0.0,0.0,0.3306213017751479,0.11920681554205767,0.0,0.0,0.33764792899408286,0.11957911401053803,0.0,0.0,0.32951183431952663,0.10571231969125025,49.11699035463954,0.8048322478355777,2.488242993076172,6.758095235916876
dac,3,146,3.0,0.0,0.03278612787509344,0.10352786144840422,0.9794520547945206,0.14186517244663,0.9987157534246576,0.008866573277914375,0.00684931506849315,0.08247667519720751,0.3411815068493151,0.13843214400427314,0.0,0.0,0.3232020547945205,0.12204547460881189,0.0,0.0,0.3261986301369863,0.1211948996317651,49.08484903100419,0.8245243525905553,3.0696971315814006,6.335514303488466
dac,4,114,4.0,0.0,0.012039473748815638,0.05656657388222694,1.0,0.0,1.0,0.0,0.0,0.0,0.3355263157894737,0.11597435897239601,0.0,0.0,0.3300438596491228,0.11183673017699533,0.0,0.0,0.3229166666666667,0.10631018247402652,48.93201925043474,0.5942439709845949,3.7522134484167684,4.5994362972681335
dac,5,114,5.0,0.0,0.013332170510379973,0.054593928608718485,1.0,0.0,1.0,0.0,0.0,0.0,0.31743421052631576,0.12393867883087041,0.0,0.0,0.31140350877192985,0.10437997550265153,0.0,0.0,0.32346491228070173,0.1211709630135202,48.95425063685367,0.643322701375721,3.9378262126916335,4.43610786468544
dac,6,91,6.0,0.0,0.0020378174941719173,0.00512018712604446,1.0,0.0,1.0,0.0,0.0,0.0,0.3358516483516483,0.1034469257799713,0.0,0.0,0.33035714285714285,0.10895896711567,0.0,0.0,0.32074175824175827,0.11126797577053975,48.8278440957541,0.31293886837420826,5.153438077932531,2.7560376693472364
dynamic_range_compression,0,113,0.0,0.0,0.024781828273994375,0.07823176573357453,0.9911504424778761,0.09365491366600322,0.9994469026548672,0.005853432104125201,0.9203539823008849,0.2707443989518292,0.9817477876106194,0.07917989833546814,0.0,0.0,0.3307522123893805,0.12239583116371151,0.0,0.0,0.31581858407079644,0.11842226198020549,48.95369693452278,0.8093995022167176,11.8172019751726,3.3231489600750654
