clean,watermarked,attack,instrument,si_snr_clean,si_snr_watermarked,delta_si_snr,snr,lsd,pesq,stoi
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0008/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0008/2_watermarked.wav,,speech,101.57129,27.051704,-74.519585,27.059641423731215,9.030249982776342,4.452898025512695,0.9988263305882134
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0009/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0009/2_watermarked.wav,,speech,100.4093,25.47553,-74.93377,25.487405510881818,8.929382350501077,4.471879482269287,0.999397108922168
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0010/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0010/2_watermarked.wav,,speech,103.31394,24.533585,-78.78036,24.54844298386137,8.98184920996567,4.4428253173828125,0.9990757202719102
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0011/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0011/2_watermarked.wav,,speech,96.53426,26.904064,-69.6302,26.912261966057905,9.041836738225037,4.380505561828613,0.9978087209762323
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0012/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0012/2_watermarked.wav,,speech,101.471054,25.181969,-76.289085,25.195074252570436,9.01959599908963,4.451748371124268,0.9985405695293975
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0013/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0013/2_watermarked.wav,,speech,100.704254,25.26416,-75.440094,25.277046639922606,9.12396797816619,4.325046062469482,0.9988876800976697
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0014/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0014/2_watermarked.wav,,speech,103.49189,26.298876,-77.193016,26.30904046945404,9.005427427567808,4.383654594421387,0.9985196829697041
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0015/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0015/2_watermarked.wav,,speech,101.56682,25.751968,-75.81485,25.76309648762052,9.014217525932105,4.488667011260986,0.9989964760929793
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0016/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0016/2_watermarked.wav,,speech,102.97859,25.179344,-77.79925,25.192467339366573,9.114795692111686,4.457757472991943,0.9989885676688494
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0017/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0017/2_watermarked.wav,,speech,101.6422,25.331337,-76.31086,25.34404099776316,9.026137956553944,4.481960773468018,0.9989241347052936
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0018/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0018/2_watermarked.wav,,speech,103.21092,24.56486,-78.646065,24.57971092505008,8.968804073884826,4.440703392028809,0.9993966540482182
