dataset,attack_type,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Clotho,dynamic_range_expansion,392,2.8469387755102042,2.0421679197798825,0.9956951530612245,0.020247469027446088,0.9928252551020408,0.026379770579997283,0.5031887755102041,0.12795376467466282,0.5058992346938775,0.12905985371621587,0.9438775510204082,0.23015803201306043,0.9132653061224489,0.2814458860163327,0.0,0.0,0.0,0.0,23.080374861250117,6.477646192306816,23.605844496635303,25.659487282803333
Clotho,encodec,554,2.911552346570397,2.110941953150372,0.9971796028880866,0.014990934656116768,0.9598375451263538,0.09710217253832751,0.51139440433213,0.12835597199314816,0.503158844765343,0.12059548414937182,0.9620938628158845,0.19096926964277403,0.7418772563176895,0.4376018657138321,0.0,0.0,0.0,0.0,23.304069326242384,6.097196994091743,5.929898696322842,10.049946584623687
Clotho,eq,404,2.8465346534653464,2.085122422335406,0.9973700495049505,0.01329635805855542,0.9863861386138614,0.039921760188834934,0.4973700495049505,0.12912008885352466,0.49226485148514854,0.12714024338247185,0.9603960396039604,0.19502688716427932,0.8564356435643564,0.3506474468705898,0.0,0.0,0.0,0.0,23.358158361793745,6.755788368979793,11.136483820063052,4.2957874937123375
Clotho,gain,148,2.9324324324324325,2.1455868036323094,0.9945101351351351,0.021710352929099588,0.9915540540540541,0.025839625913476955,0.49324324324324326,0.12753658042396357,0.48859797297297297,0.11939219182536241,0.9324324324324325,0.25100237325684743,0.8918918918918919,0.31051689981286645,0.0,0.0,0.0,0.0,24.03548042838638,6.780650475032898,82.45073416426375,1.7293331671849084
Clotho,gaussian_noise,342,2.710526315789474,1.9870502582571088,0.9965277777777778,0.01721429146768008,0.9967105263157895,0.016915842785681486,0.4926900584795322,0.12723341177048117,0.4952485380116959,0.12591148815235162,0.9532163742690059,0.21117508871658233,0.956140350877193,0.20478276368296058,0.0,0.0,0.0,0.0,21.700801531473797,6.097591777245042,51.02093917445133,5.5500122891582535
Clotho,highpass,374,2.8636363636363638,2.0966266862156178,0.9978275401069518,0.013918558604542015,0.9888034759358288,0.030143742332723284,0.5088569518716578,0.12329592566624446,0.5086898395721925,0.12008946109804634,0.9705882352941176,0.1689577248981773,0.8582887700534759,0.3487537200569586,0.0,0.0,0.0,0.0,22.07401143803316,5.499043434830439,0.6321124330631154,11.885821562829435
Clotho,limiter,310,2.925806451612903,2.116977111725887,0.9951612903225806,0.02563260496018196,0.9953629032258065,0.023890065649398502,0.50625,0.12377932203932986,0.5004032258064516,0.12419027540722827,0.9548387096774194,0.20765776696040109,0.9548387096774194,0.20765776696040109,0.0,0.0,0.0,0.0,23.46115985993416,6.374076740600243,22.579032502635833,17.880963171142785
Clotho,lowpass,424,2.849056603773585,2.07315479598528,0.9933667452830188,0.024700456469145985,0.9933667452830188,0.02507066527500508,0.4904186320754717,0.11907521943703417,0.4921875,0.11709902320369472,0.9150943396226415,0.27874125854139914,0.9174528301886793,0.27519653807317734,0.0,0.0,0.0,0.0,23.173138407041442,5.836823385790547,23.749036401356484,11.16242430999847
Clotho,mp3,394,2.8553299492385786,2.0800928614976057,0.9957170050761421,0.018667794144958665,0.9957170050761421,0.018128923245342158,0.493496192893401,0.12367370225790118,0.4936548223350254,0.12315980040636615,0.9416243654822335,0.2344523828252011,0.9416243654822335,0.23445238282520112,0.0025380710659898475,0.050315298481215756,0.0,0.0,21.891123265784405,6.204268079310108,27.1907014671316,10.42215136128618
Clotho,phase_shift,146,2.6095890410958904,1.963269874020397,0.9931506849315068,0.036665433399595646,0.629708904109589,0.1688951076451602,0.4850171232876712,0.13827319858352538,0.4978595890410959,0.12336568236804142,0.9383561643835616,0.24050753241204706,0.00684931506849315,0.08247667519720751,0.0,0.0,0.0,0.0,25.012909856561112,8.185634234955385,-26.208799316458506,13.396592701704165
