attack_type,chunk_index,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
background_noise,5,58,5.0,0.0,0.9989224137931034,0.008135597451800376,0.9989224137931034,0.008135597451800376,0.5021551724137931,0.10760765286913732,0.4956896551724138,0.10754288749891938,0.9827586206896551,0.13016955922880602,0.9827586206896551,0.13016955922880602,0.0,0.0,0.0,0.0,23.161247204089985,5.30654242483098,46.481864271492796,7.028803417788074
background_noise,6,38,6.0,0.0,0.9967105263157895,0.013956054891839754,0.9967105263157895,0.013956054891839754,0.5049342105263158,0.12029088488964834,0.506578947368421,0.12564756088673867,0.9473684210526315,0.22329687826943603,0.9473684210526315,0.22329687826943603,0.0,0.0,0.0,0.0,24.352497502377158,5.015163303951092,46.747950302927116,6.757166353292436
background_noise,7,38,7.0,0.0,0.9950657894736842,0.02212767113005544,0.9950657894736842,0.02212767113005544,0.5016447368421053,0.14373343876658481,0.5,0.1426661081723779,0.9473684210526315,0.22329687826943603,0.9473684210526315,0.22329687826943603,0.0,0.0,0.0,0.0,24.21286399740922,5.0892728097679605,46.75573037800036,6.7634782857471
background_noise,8,11,8.0,0.0,0.9715909090909091,0.048876848108196744,0.9715909090909091,0.048876848108196744,0.4772727272727273,0.10750504504786648,0.4715909090909091,0.11420313205819194,0.7272727272727273,0.4453617714151233,0.7272727272727273,0.4453617714151233,0.0,0.0,0.0,0.0,25.16631317138672,3.56218196581958,48.29210836237127,6.163220727568385
background_noise,9,11,9.0,0.0,0.9886363636363636,0.03593497341100431,0.9886363636363636,0.03593497341100431,0.5,0.11918282365569904,0.5113636363636364,0.11863984669216535,0.9090909090909091,0.28747978728803447,0.9090909090909091,0.28747978728803447,0.0,0.0,0.0,0.0,23.733313300392844,3.0558864749803085,48.29479252208363,6.168842234826371
dac,0,103,0.0,0.0,0.9963592233009708,0.02587257961811632,0.537621359223301,0.12780226812525017,0.5103155339805825,0.1132516312982076,0.5030339805825242,0.12173485556286763,0.970873786407767,0.16816027257950264,0.0,0.0,0.0,0.0,0.0,0.0,23.506619221955827,6.014295932954459,2.042985802570593,8.354282345810386
dac,1,103,1.0,0.0,0.995752427184466,0.027899427020807405,0.5327669902912622,0.12219071945147006,0.5036407766990292,0.11482404050985312,0.4987864077669903,0.11780911831832254,0.970873786407767,0.1681602725795026,0.0,0.0,0.0,0.0,0.0,0.0,23.27338706636892,6.002579419786166,1.8930076076423081,8.048446725933369
dac,2,100,2.0,0.0,0.9975,0.01224744871391589,0.5375,0.10569709078304852,0.489375,0.11147274050188233,0.49875,0.12623762315569792,0.96,0.19595917942265423,0.0,0.0,0.0,0.0,0.0,0.0,23.353788118362427,5.988718245999045,1.6456224697083235,8.113063031443913
dac,3,100,3.0,0.0,0.998125,0.01066170131826999,0.52125,0.1308684931524773,0.478125,0.10730177945868373,0.48875,0.12131441587874046,0.97,0.1705872210923198,0.0,0.0,0.0,0.0,0.0,0.0,22.986102628707886,6.030867085827744,1.7661363089084625,8.075599064820663
dac,4,77,4.0,0.0,0.997564935064935,0.012093883462460504,0.5316558441558441,0.13462285606440222,0.4926948051948052,0.13170877841160147,0.4797077922077922,0.1077560180212733,0.961038961038961,0.19350213539936809,0.0,0.0,0.0,0.0,0.0,0.0,23.562899453299387,6.568519842445759,2.242110938607872,8.398819192489865
dac,5,77,5.0,0.0,0.9951298701298701,0.01954804314739009,0.5300324675324676,0.12112935389256713,0.4926948051948052,0.11439335065602678,0.49756493506493504,0.11808879420124872,0.935064935064935,0.24641124624688673,0.0,0.0,0.0,0.0,0.0,0.0,24.009205099824186,6.659676042477855,2.484464188535734,8.6126908897708
