dataset,attack_type,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Clotho,mp3,283,1.9399293286219081,1.5386410398213475,0.08880525933902154,0.15065780683627136,0.950530035335689,0.21684715183839232,0.995803886925795,0.020925863224160193,0.568904593639576,0.4952293983351199,0.8144876325088339,0.26225258039680693,0.0,0.0,0.31824204946996465,0.11556791204935009,0.0,0.0,0.3323763250883392,0.12149333142539681,49.348336546665365,0.9666761005400447,26.824465493852596,10.65351460836858
Clotho,phase_shift,104,1.7307692307692308,1.429300321235542,0.08076825119976908,0.11971306363670589,0.9807692307692307,0.13733516208736252,0.9987980769230769,0.008583447630460156,0.23076923076923078,0.4213250442347432,0.6033653846153846,0.2960539291988587,0.0,0.0,0.31971153846153844,0.11540965273228658,0.0,0.0,0.33052884615384615,0.1060352315117271,49.48398993565486,0.9893404143132964,-26.506400337586037,12.01403836041273
Clotho,polarity,135,2.096296296296296,1.623321122810906,0.08148865887547078,0.16221675174308178,0.9481481481481482,0.22172784514215954,0.9958333333333333,0.020412414523193156,0.9481481481481482,0.22172784514215954,0.9958333333333333,0.020412414523193156,0.0,0.0,0.3194444444444444,0.11923431128519307,0.0,0.0,0.31574074074074077,0.11817441366004633,49.29948671129015,1.0280951013222333,92.07123090955946,1.0101708391471766
Clotho,quantization,149,1.8791946308724832,1.5278741281206933,0.0682603759829509,0.14832197970539693,0.959731543624161,0.19658816799834644,0.9962248322147651,0.020770836246879105,0.959731543624161,0.19658816799834644,0.9953859060402684,0.024118215623263505,0.0,0.0,0.31291946308724833,0.130237715894139,0.0,0.0,0.30956375838926176,0.1295998395758624,49.11329115797209,1.197834630207121,64.78636018381823,7.058618805616866
Clotho,reverb,206,1.8932038834951457,1.5131310132588947,0.07297096064524264,0.1166481134507585,0.9854368932038835,0.1197957541675055,0.9990898058252428,0.007487234635469093,0.49514563106796117,0.4999764345469412,0.8534587378640777,0.20547576096946285,0.0,0.0,0.31978155339805825,0.11645585792131238,0.0,0.0,0.32311893203883496,0.1134745242390848,49.30518959563913,0.6789770604429625,9.399360853491478,1.7182558411993323
Clotho,time_jitter,79,1.7088607594936709,1.397573835681572,0.02708103504726248,0.04747258770015563,1.0,0.0,1.0,0.0,0.620253164556962,0.4853237851311599,0.8473101265822784,0.2517240465145411,0.0,0.0,0.3291139240506329,0.106042174239843,0.0,0.0,0.34177215189873417,0.12009170539839924,49.088908956020695,0.4956529082886196,33.205515801152096,8.97212193190366
Clotho,time_stretch,123,1.853658536585366,1.5070723615390642,0.09455397373567224,0.1921124065441286,0.926829268292683,0.260416542732471,0.9933943089430894,0.026206904386641517,0.15447154471544716,0.3614001751364693,0.5792682926829268,0.2527884594968857,0.0,0.0,0.3231707317073171,0.11677930386003212,0.0,0.0,0.3099593495934959,0.11532649998841105,49.05829803342742,1.0127535419055518,-5.1826214411152085,6.956854339065381
Clotho,vorbis,299,1.8762541806020068,1.4974017683285803,0.08039191872221021,0.15397349293747783,0.959866220735786,0.19627291974744093,0.9962374581939799,0.02009735006976909,0.2408026755852843,0.4275707508895488,0.5834030100334449,0.30517234939251797,0.0,0.0,0.3250418060200669,0.10986793877797213,0.0,0.0,0.3133361204013378,0.11554695392582767,49.24013357258162,0.47517940269460773,17.651056291267626,7.1253553923391495
DAPS,aac,287,3.0,2.0,0.001971780591164468,0.004564967473612862,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3268728222996516,0.12837465053118263,0.0,0.0,0.31511324041811845,0.11651856889724514,48.78463124398155,0.29534988389367006,-31.615210606246045,11.330153425316185
DAPS,background_noise,217,3.0,2.0,0.0018679152489318542,0.005556841487534071,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.326036866359447,0.12051429165624342,0.0,0.0,0.32315668202764974,0.12243121218881775,48.80637391261791,0.3026171012532294,47.120966159802975,7.522272962094978
