attack_type,chunk_index,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
dac,6,91,6.0,0.0,0.002039271407002673,0.005124025803607277,1.0,0.0,1.0,0.0,0.0,0.0,0.34615384615384615,0.12232989293295127,0.0,0.0,0.33035714285714285,0.10895896711567,0.0,0.0,0.30357142857142855,0.11063449801353299,48.8278439280751,0.3129387174715186,5.969202070118307,2.5419678101170105
dynamic_range_compression,0,113,0.0,0.0,0.024782261436015376,0.07822325689990356,0.9911504424778761,0.09365491366600322,0.9994469026548672,0.005853432104125201,0.9911504424778761,0.09365491366600322,0.9994469026548672,0.005853432104125201,0.0,0.0,0.3307522123893805,0.12239583116371151,0.0,0.0,0.3196902654867257,0.11453790033523337,48.9536969007644,0.8093995320406703,32.758746442541614,23.255011808052814
dynamic_range_compression,1,113,1.0,0.0,0.027370335729471854,0.08433021230684914,0.9911504424778761,0.09365491366600322,0.9994469026548672,0.005853432104125201,0.9911504424778761,0.09365491366600322,0.9994469026548672,0.005853432104125201,0.0,0.0,0.3252212389380531,0.1140561292121314,0.0,0.0,0.3185840707964602,0.11216290504611749,48.94560734571609,0.817992307730978,35.43416877341481,24.70219383854576
dynamic_range_compression,2,110,2.0,0.0,0.02480835865553032,0.06478242337278294,0.9818181818181818,0.13360853142453696,0.9988636363636364,0.008350533214033562,0.9636363636363636,0.18719327529067276,0.9977272727272727,0.011699579705667046,0.0,0.0,0.3397727272727273,0.1301570491291829,0.0,0.0,0.3477272727272727,0.12961023101387897,48.93035881736062,0.836980646495319,32.981694134798914,23.233459181980436
dynamic_range_compression,3,98,3.0,0.0,0.03291448824927323,0.1296375863893023,0.9897959183673469,0.10049854899791943,0.9987244897959183,0.01256231862473993,0.9897959183673469,0.10049854899791943,0.9974489795918368,0.02512463724947986,0.0,0.0,0.30739795918367346,0.10627380787726122,0.0,0.0,0.305484693877551,0.10407920978072306,48.92310788680096,0.9840016884145047,33.908903968577484,23.49913873310414
dynamic_range_compression,4,73,4.0,0.0,0.020587110807019058,0.07099076343971797,0.9863013698630136,0.11623673115395303,0.9991438356164384,0.007264795697122064,0.9863013698630136,0.11623673115395303,0.9991438356164384,0.007264795697122064,0.0,0.0,0.3416095890410959,0.10804645267405844,0.0,0.0,0.3313356164383562,0.10328763716797519,48.86383777775177,0.9374050024942993,31.375700754662084,22.043012493696462
dynamic_range_compression,5,73,5.0,0.0,0.02044082481602697,0.07753008940276124,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3125,0.11093855512714518,0.0,0.0,0.3150684931506849,0.10419207483956369,48.854436273444186,0.9481879629644674,31.8984804414723,21.74513129675336
dynamic_range_compression,6,50,6.0,0.0,0.001840372689648843,0.004107445288741528,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.325,0.11249999999999999,0.0,0.0,0.31375,0.1246808425540989,48.8444792175293,0.32643209121827327,28.88464538574219,21.57296400843472
dynamic_range_expansion,0,117,0.0,0.0,0.03132856671095695,0.09345039305030779,0.9914529914529915,0.09205409926725645,0.999465811965812,0.005753381204203528,0.9316239316239316,0.2523901377817675,0.9775641025641025,0.11188147228017348,0.0,0.0,0.3157051282051282,0.10958539100819718,0.0,0.0,0.3301282051282051,0.10555047307740457,49.039344950618904,0.6228269733764318,23.301921566836853,24.848437085432593
dynamic_range_expansion,1,117,1.0,0.0,0.023929412047273814,0.06188710407162746,0.9914529914529915,0.09205409926725645,0.999465811965812,0.005753381204203528,0.905982905982906,0.2918524970763055,0.9893162393162394,0.04497342987147261,0.0,0.0,0.3173076923076923,0.10876204808305867,0.0,0.0,0.3392094017094017,0.1313342320566061,49.04008774064545,0.4812218607188593,25.502020868480717,26.569605184041464
